CA,Air China,China
AF,Air France,France
NZ,Air New Zealand,New Zealand
TN,Air Tahiti Nui,France
AS,Alaska Airlines,United States
NH,All Nippon Airways (ANA),Japan
AA,American Airlines,United States
BA,British Airways,United Kingdom
CZ,China Southern Airlines,China
DL,Delta Air Lines,United States
HU,Hainan Airlines,China
JL,Japan Airlines,Japan
B6,JetBlue Airways,United States
KL,KLM Royal Dutch Airlines,United States
DY,Norwegian Air Shuttle,Norway
WN,Southwest Airlines,Netherlands
NK,Spirit Airlines,United States
UA,United Airlines,United States
VS,Virgin Atlantic Airways,United Kingdom
SE,XL Airways France,France
