('CA', 'CDG', 'PEK', 934, '8:20 PM', '12:25 PM', '10:05'),
('CA', 'HND', 'PEK', 182, '1:55 PM', '4:45 PM', '3:50'),
('CA', 'JFK', 'PEK', 982, '4:50 PM', '6:20 PM', '13:30'),
('CA', 'LAX', 'PEK', 984, '1:40 AM', '5:20 AM', '12:40'),
('CA', 'LHR', 'PEK', 938, '8:25 PM', '1:05 PM', '9:40'),
('CA', 'PEK', 'CDG', 933, '1:35 PM', '6:40 PM', '11:05'),
('CA', 'PEK', 'HND', 167, '12:50 PM', '5:25 PM', '3:35'),
('CA', 'PEK', 'JFK', 981, '1:00 PM', '2:20 PM', '13:20'),
('CA', 'PEK', 'LAX', 983, '9:00 PM', '6:00 PM', '12:00'),
('CA', 'PEK', 'LHR', 937, '2:10 PM', '5:45 PM', '10:35'),
('AF', 'AMS', 'CDG', 1341, '10:35 AM', '11:55 AM', '1:20'),
('AF', 'ATL', 'CDG', 681, '5:15 PM', '7:40 AM', '8:25'),
('AF', 'CDG', 'AMS', 1440, '6:00 PM', '7:15 PM', '1:15'),
('AF', 'CDG', 'ATL', 688, '1:50 PM', '5:15 PM', '9:25'),
('AF', 'CDG', 'HND', 272, '5:20 PM', '12:15 PM', '11:55'),
('AF', 'CDG', 'JFK', 6, '1:35 PM', '4:00 PM', '8:25'),
('AF', 'CDG', 'LAX', 66, '10:20 AM', '12:50 PM', '11:30'),
('AF', 'CDG', 'LHR', 1280, '4:00 PM', '4:25 PM', '1:25'),
('AF', 'CDG', 'ORD', 144, '10:10 AM', '12:30 PM', '9:20'),
('AF', 'CDG', 'PEK', 382, '11:20 PM', '3:20 PM', '10:00'),
('AF', 'HND', 'CDG', 279, '2:00 PM', '7:30 PM', '12:30'),
('AF', 'JFK', 'CDG', 9, '11:25 PM', '12:55 PM', '7:30'),
('AF', 'LAX', 'CDG', 65, '3:15 PM', '11:05 PM', '10:50'),
('AF', 'LHR', 'CDG', 1281, '5:35 PM', '7:50 PM', '1:15'),
('AF', 'ORD', 'CDG', 137, '5:20 PM', '8:40 AM', '8:20'),
('AF', 'PEK', 'CDG', 125, '9:05 AM', '2:00 PM', '10:55'),
('NZ', 'LAX', 'LHR', 2, '5:15 PM', '11:45 AM', '10:30'),
('NZ', 'LHR', 'LAX', 1, '4:15 PM', '7:25 PM', '11:10'),
('TN', 'CDG', 'LAX', 7, '11:35 AM', '2:25 PM', '11:50'),
('TN', 'LAX', 'CDG', 8, '1:20 PM', '9:20 AM', '11:00'),
('AS', 'JFK', 'LAX', 1411, '1:00 PM', '4:12 PM', '6:12'),
('AS', 'LAX', 'JFK', 1418, '9:17 PM', '5:41 AM', '5:24'),
('AS', 'LAX', 'ORD', 1232, '11:45 AM', '5:52 PM', '4:07'),
('AS', 'ORD', 'LAX', 1241 '6:55 PM', '9:27 PM', '4:32'),
('NH', 'CDG', 'HND', 216, '8:00 PM', '2:45 PM', '11:45'),
('NH', 'HND', 'CDG', 215, '11:45 AM', '5:10 PM', '12:25'),
('NH', 'HND', 'LAX', 106, '10:55 PM', '4:45 PM', '9:50'),
('NH', 'HND', 'LHR', 211, '11:35 AM', '4:10 PM', '12:35'),
('NH', 'HND', 'PEK', 963, '5:20 PM', '8:10 PM', '3:50'),
('NH', 'LAX', 'HND', 105, '12:50 AM', '5:00 AM', '12:10'),
('NH', 'LHR', 'HND', 212, '7:00 PM', '2:40 PM', '11:40'),
('NH', 'PEK', 'HND', 962, '3:20 PM', '7:45 PM', '3:25'),
('AA', 'ATL', 'LAX', 1249, '4:53 PM', '7:00 PM', '5:07'),
('AA', 'CDG', 'JFK', 45, '10:40 AM', '1:10 PM', '8:30'),
('AA', 'CDG', 'ORD', 151, '12:10 PM', '2:15 PM', '9:05'),
('AA', 'HND', 'LAX', 26, '4:25 PM', '10:50 AM', '10:25'),
('AA', 'JFK', 'CDG', 44, '6:05 PM', '7:45 AM', '7:40'),
('AA', 'JFK', 'LAX', 1, '8:00 AM', '11:40 AM', '6:40'),
('AA', 'JFK', 'LAX', 163, '11:00 AM', '2:16 PM', '6:16'),
('AA', 'JFK', 'LHR', 106, '7:45 PM', '8:10 AM', '7:25'),
('AA', 'JFK', 'ORD', 1257, '5:05 PM', '7:06 PM', '3:01'),
